sampleId	country	lat	long	AnnualMeanTemperature	MeanDiurnalRange	Isothermality	TemperatureSeasonality	MaxTemperatureofWarmestMonth	MinTemperatureofColdestMonth	TemperatureAnnualRange	MeanTemperatureofWettestQuarter	MeanTemperatureofDriestQuarter	MeanTemperatureofWarmestQuarter	MeanTemperatureofColdestQuarter	AnnualPrecipitation	PrecipitationofWettestMonth	PrecipitationofDriestMonth	PrecipitationSeasonality	PrecipitationofWettestQuarter	PrecipitationofDriestQuarter	PrecipitationofWarmestQuarter	PrecipitationofColdestQuarter
ES_Tom_15_29	Spain	39.15805	-3.021	144	123	38	6711	331	10	321	128	235	235	63	416	49	7	38	141	45	45	115
TR_Yes_16_42	Turkey	40.231444	32.260328	118	117	35	7442	297	-29	326	20	209	212	20	449	61	14	39	162	52	69	162
ES_Gim_15_31	Spain	41.656416	0.388472	144	112	37	6469	308	10	298	171	62	227	62	434	55	21	28	142	77	100	77
FR_Got_14_08	France	44.976813	4.930005	120	101	35	6388	277	-5	282	125	37	202	37	839	90	47	17	252	185	188	185
HU_Sze_16_14	Hungary	46.25	20.13	108	101	31	7758	273	-45	318	188	20	202	3	515	70	28	29	178	87	175	100
UA_Ode_16_47	Ukraine	46.44155556	30.77169444	104	65	21	8350	263	-38	301	190	166	211	-2	456	49	26	16	133	99	130	121
DE_Mun_14_32	Germany	48.18	11.61	80	89	31	6827	229	-50	279	166	3	166	-10	911	122	48	35	347	153	347	157
DE_Bro_16_10	Germany	48.218024	7.819513	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140
AT_Mau_14_01	Austria	48.375	15.56	88	97	32	7157	247	-48	295	178	8	178	-6	688	93	32	36	264	111	264	111
FR_Vil_15_40	France	48.754	2.158	105	81	35	5530	235	4	231	110	68	175	33	656	60	46	8	175	145	162	162
UA_Kyi_14_23	Ukraine	50.34402778	30.48911111	78	81	24	9037	246	-83	329	189	-31	189	-41	636	86	36	27	226	122	226	136
UA_Cho_15_26	Ukraine	51.3352	30.136179	75	84	24	9054	247	-90	337	186	-35	186	-45	620	87	34	32	233	108	233	120
UK_She_15_17	United Kingdom	53.391	-1.521	92	72	36	4511	201	6	195	45	136	151	36	820	82	59	11	237	183	194	220
RU_tul_15_37	Russia	53.99778	38.13167	47	85	22	10332	238	-134	372	175	-78	175	-87	609	84	29	31	222	96	222	112
PO_Brz_15_12	Poland	54.27342	19.620169	73	69	24	7642	221	-62	283	168	18	168	-29	685	81	35	28	230	108	230	135
SE_Lun_15_14	Sweden	55.694	13.198	79	61	26	6160	202	-27	229	153	25	160	5	645	67	34	22	197	113	185	152
UK_Dai_16_23	United Kingdom	56.3447	-2.9525	82	74	37	4428	188	-7	195	115	48	140	26	677	67	43	14	193	136	172	172
FI_Ves_16_7	Finland	62.55	26.24	30	76	22	8966	211	-127	338	131	-39	149	-83	621	84	32	31	221	99	214	123
